make,model,year,engine_fuel_type,engine_hp,engine_cylinders,transmission_type,driven_wheels,number_of_doors,market_category,vehicle_size,vehicle_style,highway_mpg,city_mpg,popularity
ford,transit_wagon,2016,flex-fuel_(unleaded/e85),275.0,6.0,automatic,rear_wheel_drive,3.0,"flex_fuel,diesel",large,passenger_van,19,14,5657
chevrolet,suburban,2015,flex-fuel_(unleaded/e85),355.0,8.0,automatic,four_wheel_drive,4.0,"flex_fuel,performance",large,4dr_suv,22,15,1385
audi,a4,2017,premium_unleaded_(recommended),252.0,4.0,automated_manual,front_wheel_drive,4.0,"luxury,performance",midsize,sedan,33,25,3105
buick,encore,2017,regular_unleaded,138.0,4.0,automatic,front_wheel_drive,4.0,crossover,compact,4dr_suv,33,25,155
ford,aspire,1996,regular_unleaded,63.0,4.0,manual,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,38,29,5657
bmw,4_series,2017,premium_unleaded_(recommended),248.0,4.0,automatic,rear_wheel_drive,2.0,"luxury,performance",midsize,coupe,34,23,3916
dodge,srt_viper,2014,premium_unleaded_(required),640.0,10.0,manual,rear_wheel_drive,2.0,"exotic,high-performance",compact,coupe,19,12,1851
kia,sportage,2016,regular_unleaded,260.0,4.0,automatic,all_wheel_drive,4.0,crossover,compact,4dr_suv,25,19,1720
nissan,xterra,2013,regular_unleaded,261.0,6.0,manual,four_wheel_drive,4.0,,midsize,4dr_suv,20,16,2009
toyota,tacoma,2017,regular_unleaded,278.0,6.0,automatic,four_wheel_drive,4.0,,compact,crew_cab_pickup,23,18,2031
nissan,350z,2009,regular_unleaded,306.0,6.0,automatic,rear_wheel_drive,2.0,high-performance,compact,convertible,23,17,2009
honda,accord,2016,regular_unleaded,185.0,4.0,manual,front_wheel_drive,2.0,,midsize,coupe,34,23,2202
gmc,acadia,2015,regular_unleaded,288.0,6.0,automatic,front_wheel_drive,4.0,crossover,midsize,4dr_suv,24,17,549
volkswagen,cc,2016,premium_unleaded_(recommended),200.0,4.0,automated_manual,front_wheel_drive,4.0,performance,midsize,sedan,31,22,873
dodge,daytona,1991,regular_unleaded,152.0,4.0,manual,front_wheel_drive,2.0,"hatchback,factory_tuner,performance",compact,2dr_hatchback,24,18,1851
toyota,prius_v,2017,regular_unleaded,134.0,4.0,automatic,front_wheel_drive,4.0,hybrid,midsize,wagon,39,43,2031
subaru,loyale,1993,regular_unleaded,90.0,4.0,manual,front_wheel_drive,4.0,,compact,sedan,29,22,640
mazda,mx-5_miata,2015,premium_unleaded_(recommended),167.0,4.0,manual,rear_wheel_drive,2.0,performance,compact,convertible,28,22,586
volkswagen,new_beetle,2008,regular_unleaded,150.0,5.0,manual,front_wheel_drive,2.0,,compact,convertible,28,20,873
mercedes-benz,cl-class,2012,premium_unleaded_(required),510.0,12.0,automatic,rear_wheel_drive,2.0,"luxury,high-performance",large,coupe,18,12,617
land_rover,range_rover_evoque,2016,premium_unleaded_(recommended),240.0,4.0,automatic,all_wheel_drive,4.0,"crossover,luxury",compact,4dr_suv,30,21,258
gmc,sierra_1500_classic,2007,flex-fuel_(unleaded/e85),295.0,8.0,automatic,rear_wheel_drive,4.0,flex_fuel,large,crew_cab_pickup,19,14,549
bentley,mulsanne,2015,premium_unleaded_(required),505.0,8.0,automatic,rear_wheel_drive,4.0,"exotic,luxury,high-performance",large,sedan,18,11,520
saab,9-3,2011,premium_unleaded_(recommended),210.0,4.0,automatic,all_wheel_drive,4.0,luxury,compact,wagon,27,17,376
cadillac,ats_coupe,2015,flex-fuel_(unleaded/e85),321.0,6.0,automatic,rear_wheel_drive,2.0,"flex_fuel,luxury,high-performance",compact,coupe,28,18,1624
nissan,pulsar,1990,regular_unleaded,90.0,4.0,manual,front_wheel_drive,2.0,,compact,coupe,31,23,2009
mitsubishi,expo,1993,regular_unleaded,136.0,4.0,manual,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,26,19,436
land_rover,discovery,2004,premium_unleaded_(required),217.0,8.0,automatic,four_wheel_drive,4.0,luxury,midsize,4dr_suv,14,11,258
hyundai,veracruz,2011,regular_unleaded,260.0,6.0,automatic,all_wheel_drive,4.0,crossover,midsize,4dr_suv,21,16,1439
volkswagen,beetle_convertible,2014,regular_unleaded,170.0,4.0,automatic,front_wheel_drive,2.0,,compact,convertible,32,24,873
volkswagen,golf_gti,2015,premium_unleaded_(recommended),220.0,4.0,manual,front_wheel_drive,4.0,"hatchback,performance",compact,4dr_hatchback,34,25,873
ford,e-150,1997,regular_unleaded,200.0,6.0,automatic,rear_wheel_drive,3.0,,midsize,passenger_van,17,12,5657
volkswagen,golf_gti,2017,premium_unleaded_(recommended),210.0,4.0,manual,front_wheel_drive,4.0,"hatchback,performance",compact,4dr_hatchback,34,24,873
ford,f-250,1999,regular_unleaded,220.0,8.0,automatic,rear_wheel_drive,4.0,,large,extended_cab_pickup,17,12,5657
mercedes-benz,300-class,1993,regular_unleaded,228.0,6.0,manual,rear_wheel_drive,2.0,"luxury,performance",compact,convertible,21,14,617
audi,a7,2015,diesel,240.0,6.0,automatic,all_wheel_drive,4.0,"diesel,luxury",large,sedan,38,24,3105
mazda,cx-5,2014,regular_unleaded,184.0,4.0,automatic,front_wheel_drive,4.0,crossover,midsize,4dr_suv,32,25,586
chevrolet,silverado_1500,2015,flex-fuel_(unleaded/e85),285.0,6.0,automatic,four_wheel_drive,4.0,flex_fuel,large,crew_cab_pickup,22,17,1385
lincoln,ls,2004,premium_unleaded_(required),232.0,6.0,automatic,rear_wheel_drive,4.0,"luxury,performance",midsize,sedan,24,17,61
acura,zdx,2011,premium_unleaded_(required),300.0,6.0,automatic,all_wheel_drive,4.0,"crossover,hatchback,luxury",midsize,4dr_hatchback,23,16,204
mitsubishi,outlander_sport,2015,regular_unleaded,148.0,4.0,automatic,front_wheel_drive,4.0,crossover,compact,4dr_suv,32,25,436
volkswagen,golf_gti,2016,premium_unleaded_(recommended),210.0,4.0,manual,front_wheel_drive,4.0,"hatchback,performance",compact,4dr_hatchback,34,25,873
buick,regal,2017,premium_unleaded_(recommended),259.0,4.0,automatic,front_wheel_drive,4.0,performance,midsize,sedan,29,21,155
chevrolet,silverado_1500,2015,regular_unleaded,355.0,8.0,automatic,rear_wheel_drive,4.0,,large,extended_cab_pickup,23,16,1385
toyota,camry_solara,2006,regular_unleaded,225.0,6.0,automatic,front_wheel_drive,2.0,,midsize,convertible,26,18,2031
toyota,avalon_hybrid,2017,regular_unleaded,200.0,4.0,automatic,front_wheel_drive,4.0,hybrid,midsize,sedan,39,40,2031
pontiac,gto,2006,premium_unleaded_(required),400.0,8.0,automatic,rear_wheel_drive,2.0,high-performance,midsize,coupe,19,14,210
nissan,leaf,2015,electric,,0.0,direct_drive,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,101,126,2009
toyota,4runner,2016,regular_unleaded,270.0,6.0,automatic,rear_wheel_drive,4.0,,midsize,4dr_suv,22,17,2031
nissan,350z,2009,regular_unleaded,306.0,6.0,automatic,rear_wheel_drive,2.0,high-performance,compact,convertible,23,17,2009
suzuki,equator,2010,regular_unleaded,261.0,6.0,automatic,four_wheel_drive,4.0,,compact,crew_cab_pickup,19,15,481
acura,rsx,2006,regular_unleaded,155.0,4.0,manual,front_wheel_drive,2.0,"hatchback,luxury",compact,2dr_hatchback,31,24,204
chevrolet,camaro,2015,premium_unleaded_(recommended),426.0,8.0,manual,rear_wheel_drive,2.0,high-performance,midsize,convertible,24,16,1385
volkswagen,golf,2015,diesel,150.0,4.0,manual,front_wheel_drive,4.0,"hatchback,diesel",compact,4dr_hatchback,45,30,873
subaru,justy,1993,regular_unleaded,73.0,3.0,manual,four_wheel_drive,4.0,hatchback,compact,4dr_hatchback,29,24,640
lexus,rx_400h,2008,premium_unleaded_(required),268.0,6.0,automatic,front_wheel_drive,4.0,"crossover,luxury,hybrid",midsize,4dr_suv,24,27,454
kia,sorento,2016,regular_unleaded,240.0,4.0,automatic,all_wheel_drive,4.0,crossover,midsize,4dr_suv,25,19,1720
buick,rendezvous,2007,regular_unleaded,196.0,6.0,automatic,front_wheel_drive,4.0,crossover,midsize,4dr_suv,23,17,155
acura,tl,2014,premium_unleaded_(recommended),280.0,6.0,automatic,front_wheel_drive,4.0,"luxury,performance",midsize,sedan,29,20,204
fiat,500x,2016,regular_unleaded,180.0,4.0,automatic,front_wheel_drive,4.0,crossover,compact,4dr_suv,31,22,819
audi,tt,2016,premium_unleaded_(recommended),220.0,4.0,automated_manual,all_wheel_drive,2.0,"luxury,performance",compact,coupe,30,23,3105
suzuki,xl-7,2006,regular_unleaded,185.0,6.0,automatic,four_wheel_drive,4.0,,midsize,4dr_suv,20,15,481
bentley,continental_supersports,2011,flex-fuel_(premium_unleaded_required/e85),621.0,12.0,automatic,all_wheel_drive,2.0,"exotic,flex_fuel,factory_tuner,luxury,high-performance",midsize,coupe,19,12,520
honda,cr-v,2016,regular_unleaded,185.0,4.0,automatic,front_wheel_drive,4.0,crossover,compact,4dr_suv,33,26,2202
audi,s5,2016,premium_unleaded_(required),333.0,6.0,automated_manual,all_wheel_drive,2.0,"factory_tuner,luxury,performance",midsize,coupe,28,18,3105
infiniti,g37_coupe,2010,premium_unleaded_(recommended),330.0,6.0,automatic,rear_wheel_drive,2.0,"luxury,performance",midsize,coupe,27,19,190
toyota,tundra,2016,flex-fuel_(unleaded/e85),381.0,8.0,automatic,rear_wheel_drive,4.0,flex_fuel,large,extended_cab_pickup,18,13,2031
bmw,m6,2017,premium_unleaded_(required),560.0,8.0,automated_manual,rear_wheel_drive,2.0,"factory_tuner,luxury,high-performance",midsize,convertible,22,15,3916
gmc,sierra_1500,2016,regular_unleaded,355.0,8.0,automatic,four_wheel_drive,4.0,flex_fuel,large,crew_cab_pickup,22,16,549
ford,f-150,2015,regular_unleaded,325.0,6.0,automatic,rear_wheel_drive,4.0,flex_fuel,large,extended_cab_pickup,26,19,5657
volvo,850,1995,regular_unleaded,222.0,5.0,automatic,front_wheel_drive,4.0,"luxury,performance",midsize,sedan,24,17,870
lincoln,mark_viii,1997,regular_unleaded,280.0,8.0,automatic,rear_wheel_drive,2.0,luxury,large,coupe,24,16,61
ferrari,360,2003,premium_unleaded_(required),400.0,8.0,automated_manual,rear_wheel_drive,2.0,"exotic,high-performance",compact,coupe,15,10,2774
dodge,ram_van,1999,regular_unleaded,230.0,8.0,automatic,rear_wheel_drive,3.0,,large,cargo_van,18,12,1851
audi,a5,2016,premium_unleaded_(required),220.0,4.0,automatic,all_wheel_drive,2.0,luxury,midsize,coupe,31,22,3105
honda,accord_crosstour,2010,regular_unleaded,271.0,6.0,automatic,front_wheel_drive,4.0,"crossover,hatchback",midsize,4dr_hatchback,27,18,2202
dodge,ram_150,1993,regular_unleaded,180.0,6.0,manual,four_wheel_drive,2.0,,large,regular_cab_pickup,16,11,1851
gmc,yukon,2015,flex-fuel_(unleaded/e85),355.0,8.0,automatic,four_wheel_drive,4.0,flex_fuel,large,4dr_suv,22,16,549
lexus,rx_400h,2006,regular_unleaded,268.0,6.0,automatic,front_wheel_drive,4.0,"crossover,luxury,hybrid",midsize,4dr_suv,25,28,454
mercedes-benz,500-class,1992,regular_unleaded,322.0,8.0,automatic,rear_wheel_drive,4.0,luxury,large,sedan,15,11,617
nissan,leaf,2014,electric,,0.0,direct_drive,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,101,126,2009
porsche,911,2017,premium_unleaded_(required),370.0,6.0,manual,all_wheel_drive,2.0,"luxury,high-performance",compact,coupe,29,20,1715
chevrolet,tracker,2004,regular_unleaded,165.0,6.0,automatic,rear_wheel_drive,4.0,,compact,4dr_suv,20,17,1385
chevrolet,s-10,2003,flex-fuel_(unleaded/e85),120.0,4.0,manual,rear_wheel_drive,2.0,flex_fuel,compact,regular_cab_pickup,25,19,1385
audi,a6,2016,premium_unleaded_(recommended),252.0,4.0,automatic,all_wheel_drive,4.0,luxury,midsize,sedan,32,22,3105
lincoln,mkt,2017,regular_unleaded,303.0,6.0,automatic,front_wheel_drive,4.0,"crossover,luxury",large,wagon,24,16,61
cadillac,cts,2016,premium_unleaded_(recommended),268.0,4.0,automatic,all_wheel_drive,4.0,"luxury,performance",large,sedan,29,21,1624
toyota,avalon_hybrid,2017,regular_unleaded,200.0,4.0,automatic,front_wheel_drive,4.0,hybrid,midsize,sedan,39,40,2031
oldsmobile,toronado,1992,regular_unleaded,170.0,6.0,automatic,front_wheel_drive,2.0,,large,coupe,24,16,26
rolls-royce,park_ward,2001,premium_unleaded_(required),322.0,12.0,automatic,rear_wheel_drive,4.0,"exotic,luxury",large,sedan,15,11,86
ford,expedition,2016,regular_unleaded,365.0,6.0,automatic,four_wheel_drive,4.0,,large,4dr_suv,20,15,5657
chevrolet,suburban,2017,flex-fuel_(unleaded/e85),355.0,8.0,automatic,rear_wheel_drive,4.0,"flex_fuel,performance",large,4dr_suv,23,16,1385
volkswagen,gti,2013,premium_unleaded_(recommended),200.0,4.0,manual,front_wheel_drive,2.0,"hatchback,performance",compact,2dr_hatchback,31,21,873
audi,a4,2017,premium_unleaded_(recommended),252.0,4.0,automated_manual,all_wheel_drive,4.0,"luxury,performance",midsize,sedan,31,24,3105
subaru,impreza,2017,regular_unleaded,152.0,4.0,automatic,all_wheel_drive,4.0,hatchback,compact,4dr_hatchback,37,28,640
ford,f-150,2017,flex-fuel_(unleaded/e85),282.0,6.0,automatic,rear_wheel_drive,2.0,flex_fuel,large,regular_cab_pickup,25,18,5657
toyota,tundra,2017,flex-fuel_(unleaded/e85),381.0,8.0,automatic,four_wheel_drive,2.0,flex_fuel,large,regular_cab_pickup,17,13,2031
ford,f-150,2016,flex-fuel_(unleaded/e85),282.0,6.0,automatic,rear_wheel_drive,2.0,flex_fuel,large,regular_cab_pickup,25,18,5657
gmc,terrain,2015,regular_unleaded,182.0,4.0,automatic,all_wheel_drive,4.0,crossover,compact,4dr_suv,29,20,549
chevrolet,trailblazer,2007,regular_unleaded,291.0,6.0,automatic,rear_wheel_drive,4.0,,midsize,4dr_suv,20,14,1385
volkswagen,beetle_convertible,2014,diesel,140.0,4.0,automated_manual,front_wheel_drive,2.0,diesel,compact,convertible,41,28,873
scion,xb,2015,regular_unleaded,158.0,4.0,automatic,front_wheel_drive,4.0,,compact,wagon,28,22,105
suzuki,grand_vitara,2013,regular_unleaded,166.0,4.0,automatic,rear_wheel_drive,4.0,crossover,compact,4dr_suv,25,19,481
dodge,ram_pickup_1500,2010,regular_unleaded,390.0,8.0,automatic,rear_wheel_drive,4.0,,large,crew_cab_pickup,20,14,1851
hyundai,xg350,2003,regular_unleaded,194.0,6.0,automatic,front_wheel_drive,4.0,,midsize,sedan,24,15,1439
gmc,vandura,1994,regular_unleaded,165.0,6.0,automatic,rear_wheel_drive,3.0,,compact,cargo_van,20,15,549
chevrolet,aveo,2010,regular_unleaded,108.0,4.0,manual,front_wheel_drive,4.0,,compact,sedan,35,27,1385
maserati,coupe,2006,premium_unleaded_(required),390.0,8.0,automated_manual,rear_wheel_drive,2.0,"exotic,luxury,high-performance",compact,coupe,18,11,238
mazda,rx-8,2009,premium_unleaded_(required),212.0,,automatic,rear_wheel_drive,4.0,performance,compact,coupe,23,16,586
ford,f-150,2016,flex-fuel_(unleaded/e85),385.0,8.0,automatic,rear_wheel_drive,4.0,flex_fuel,large,crew_cab_pickup,22,15,5657
ford,transit_wagon,2015,flex-fuel_(unleaded/e85),275.0,6.0,automatic,rear_wheel_drive,3.0,flex_fuel,midsize,passenger_van,19,14,5657
kia,rondo,2009,regular_unleaded,192.0,6.0,automatic,front_wheel_drive,4.0,,compact,wagon,26,18,1720
nissan,titan,2014,regular_unleaded,317.0,8.0,automatic,four_wheel_drive,4.0,flex_fuel,large,extended_cab_pickup,17,12,2009
gmc,yukon_xl,2015,flex-fuel_(unleaded/e85),355.0,8.0,automatic,rear_wheel_drive,4.0,flex_fuel,large,4dr_suv,23,16,549
gmc,sierra_1500,2016,flex-fuel_(unleaded/e85),285.0,6.0,automatic,four_wheel_drive,4.0,flex_fuel,large,crew_cab_pickup,22,17,549
hyundai,genesis_coupe,2016,premium_unleaded_(recommended),348.0,6.0,manual,rear_wheel_drive,2.0,high-performance,midsize,coupe,24,17,1439
bmw,2_series,2016,premium_unleaded_(required),320.0,6.0,automatic,rear_wheel_drive,2.0,"factory_tuner,luxury,high-performance",compact,coupe,31,20,3916
scion,im,2016,regular_unleaded,137.0,4.0,manual,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,36,27,105
gmc,acadia,2016,regular_unleaded,281.0,6.0,automatic,front_wheel_drive,4.0,crossover,midsize,4dr_suv,22,15,549
suzuki,vitara,2004,regular_unleaded,165.0,6.0,automatic,rear_wheel_drive,4.0,,compact,4dr_suv,20,17,481
cadillac,cts,2017,regular_unleaded,335.0,6.0,automatic,all_wheel_drive,4.0,"luxury,performance",large,sedan,27,19,1624
saab,900,1996,regular_unleaded,150.0,4.0,manual,front_wheel_drive,2.0,luxury,compact,convertible,26,18,376
volkswagen,jetta_sportwagen,2014,regular_unleaded,170.0,5.0,manual,front_wheel_drive,4.0,,compact,wagon,33,23,873
pontiac,torrent,2007,regular_unleaded,185.0,6.0,automatic,front_wheel_drive,4.0,crossover,compact,4dr_suv,24,17,210
bmw,8_series,1997,regular_unleaded,282.0,8.0,automatic,rear_wheel_drive,2.0,"luxury,performance",midsize,coupe,19,14,3916
toyota,tundra,2015,regular_unleaded,310.0,8.0,automatic,four_wheel_drive,4.0,,large,crew_cab_pickup,18,14,2031
subaru,outback,2015,regular_unleaded,256.0,6.0,automatic,all_wheel_drive,4.0,crossover,midsize,4dr_suv,27,20,640
plymouth,breeze,1998,regular_unleaded,132.0,4.0,manual,front_wheel_drive,4.0,,midsize,sedan,33,23,535
honda,insight,2013,regular_unleaded,98.0,4.0,automatic,front_wheel_drive,4.0,"hatchback,hybrid",compact,4dr_hatchback,44,41,2202
land_rover,range_rover,2014,premium_unleaded_(required),510.0,8.0,automatic,four_wheel_drive,4.0,"luxury,high-performance",large,4dr_suv,19,13,258
ford,bronco,1995,regular_unleaded,205.0,8.0,manual,four_wheel_drive,2.0,,midsize,2dr_suv,16,12,5657
acura,rdx,2016,premium_unleaded_(recommended),279.0,6.0,automatic,front_wheel_drive,4.0,"crossover,luxury",midsize,4dr_suv,29,20,204
nissan,frontier,2017,regular_unleaded,261.0,6.0,automatic,rear_wheel_drive,4.0,,compact,crew_cab_pickup,23,16,2009
honda,accord_crosstour,2011,regular_unleaded,271.0,6.0,automatic,front_wheel_drive,4.0,"crossover,hatchback",midsize,4dr_hatchback,27,18,2202
dodge,dakota,2008,regular_unleaded,210.0,6.0,automatic,four_wheel_drive,4.0,,compact,extended_cab_pickup,18,14,1851
mercedes-benz,e-class,2015,premium_unleaded_(required),550.0,8.0,automatic,all_wheel_drive,4.0,"factory_tuner,luxury,high-performance",midsize,sedan,23,16,617
chevrolet,corvette,2017,premium_unleaded_(recommended),460.0,8.0,manual,rear_wheel_drive,2.0,high-performance,compact,coupe,25,16,1385
chevrolet,impala,2015,flex-fuel_(unleaded/e85),305.0,6.0,automatic,front_wheel_drive,4.0,"flex_fuel,performance",large,sedan,29,19,1385
dodge,dynasty,1993,regular_unleaded,100.0,4.0,automatic,front_wheel_drive,4.0,,midsize,sedan,24,18,1851
kia,soul,2015,regular_unleaded,164.0,4.0,automatic,front_wheel_drive,4.0,,compact,wagon,31,23,1720
fiat,500,2017,premium_unleaded_(recommended),101.0,4.0,automatic,front_wheel_drive,2.0,hatchback,compact,2dr_hatchback,33,27,819
ferrari,f430,2007,premium_unleaded_(required),483.0,8.0,automated_manual,rear_wheel_drive,2.0,"exotic,factory_tuner,high-performance",compact,coupe,16,11,2774
toyota,tercel,1996,regular_unleaded,93.0,4.0,manual,front_wheel_drive,2.0,,compact,coupe,36,29,2031
ford,transit_wagon,2015,premium_unleaded_(recommended),310.0,6.0,automatic,rear_wheel_drive,3.0,diesel,large,passenger_van,19,14,5657
honda,odyssey,2016,regular_unleaded,248.0,6.0,automatic,front_wheel_drive,4.0,,large,passenger_minivan,28,19,2202
ford,f-150,2015,flex-fuel_(unleaded/e85),385.0,8.0,automatic,four_wheel_drive,4.0,flex_fuel,large,extended_cab_pickup,21,15,5657
porsche,968,1994,regular_unleaded,236.0,4.0,manual,rear_wheel_drive,2.0,"luxury,performance",compact,convertible,24,15,1715
subaru,wrx,2015,premium_unleaded_(recommended),268.0,4.0,manual,all_wheel_drive,4.0,performance,compact,sedan,28,21,640
chevrolet,silverado_1500,2017,regular_unleaded,355.0,8.0,automatic,four_wheel_drive,4.0,flex_fuel,large,crew_cab_pickup,22,16,1385
suzuki,xl7,2008,regular_unleaded,252.0,6.0,automatic,front_wheel_drive,4.0,crossover,midsize,4dr_suv,22,16,481
mazda,mx-6,1996,regular_unleaded,164.0,6.0,manual,front_wheel_drive,2.0,performance,compact,coupe,24,18,586
audi,q7,2017,premium_unleaded_(required),333.0,6.0,automatic,all_wheel_drive,4.0,"crossover,luxury,performance",large,4dr_suv,25,19,3105
ford,mustang,2015,premium_unleaded_(recommended),435.0,8.0,manual,rear_wheel_drive,2.0,high-performance,midsize,coupe,25,15,5657
suzuki,vitara,2002,regular_unleaded,127.0,4.0,automatic,rear_wheel_drive,2.0,,compact,convertible_suv,23,20,481
volkswagen,jetta_sportwagen,2012,regular_unleaded,170.0,5.0,manual,front_wheel_drive,4.0,,compact,wagon,33,23,873
gmc,jimmy,1999,regular_unleaded,190.0,6.0,automatic,four_wheel_drive,4.0,,midsize,4dr_suv,19,14,549
buick,cascada,2016,premium_unleaded_(recommended),200.0,4.0,automatic,front_wheel_drive,2.0,,midsize,convertible,27,20,155
dodge,nitro,2010,regular_unleaded,210.0,6.0,automatic,rear_wheel_drive,4.0,crossover,midsize,4dr_suv,22,16,1851
gmc,sierra_1500_classic,2007,regular_unleaded,285.0,8.0,automatic,rear_wheel_drive,2.0,flex_fuel,large,regular_cab_pickup,19,15,549
lincoln,ls,2004,premium_unleaded_(required),280.0,8.0,automatic,rear_wheel_drive,4.0,"luxury,performance",midsize,sedan,23,15,61
mazda,cx-9,2016,regular_unleaded,227.0,4.0,automatic,all_wheel_drive,4.0,crossover,large,4dr_suv,27,21,586
suzuki,kizashi,2013,regular_unleaded,180.0,4.0,automatic,front_wheel_drive,4.0,,midsize,sedan,30,23,481
toyota,sienna,2016,regular_unleaded,266.0,6.0,automatic,all_wheel_drive,4.0,,large,passenger_minivan,23,16,2031
volvo,xc70,2014,regular_unleaded,300.0,6.0,automatic,all_wheel_drive,4.0,"crossover,luxury",midsize,wagon,24,17,870
subaru,svx,1995,regular_unleaded,230.0,6.0,automatic,front_wheel_drive,2.0,performance,compact,coupe,23,15,640
honda,crosstour,2014,regular_unleaded,192.0,4.0,automatic,front_wheel_drive,4.0,"crossover,hatchback",midsize,4dr_hatchback,31,22,2202
ford,fiesta,2015,regular_unleaded,120.0,4.0,manual,front_wheel_drive,4.0,,compact,sedan,36,28,5657
suzuki,esteem,2002,regular_unleaded,122.0,4.0,automatic,front_wheel_drive,4.0,,compact,wagon,30,23,481
chevrolet,c/k_1500_series,1997,regular_unleaded,200.0,6.0,manual,rear_wheel_drive,2.0,,large,regular_cab_pickup,20,15,1385
infiniti,j30,1997,regular_unleaded,210.0,6.0,automatic,rear_wheel_drive,4.0,luxury,midsize,sedan,22,16,190
maserati,spyder,2004,premium_unleaded_(required),390.0,8.0,automated_manual,rear_wheel_drive,2.0,"exotic,luxury,high-performance",compact,convertible,16,10,238
oldsmobile,alero,2002,regular_unleaded,140.0,4.0,automatic,front_wheel_drive,4.0,,midsize,sedan,30,21,26
nissan,armada,2015,regular_unleaded,317.0,8.0,automatic,rear_wheel_drive,4.0,,large,4dr_suv,19,13,2009
volvo,s90,2017,premium_unleaded_(recommended),250.0,4.0,automatic,front_wheel_drive,4.0,luxury,large,sedan,34,23,870
bentley,flying_spur,2014,flex-fuel_(premium_unleaded_required/e85),616.0,12.0,automatic,all_wheel_drive,4.0,"exotic,flex_fuel,luxury,high-performance",large,sedan,20,12,520
volkswagen,touareg,2016,diesel,240.0,6.0,automatic,all_wheel_drive,4.0,"crossover,diesel",midsize,4dr_suv,29,21,873
mercedes-benz,sls_amg_gt,2013,premium_unleaded_(required),583.0,8.0,automated_manual,rear_wheel_drive,2.0,"exotic,factory_tuner,luxury,high-performance",compact,convertible,19,13,617
chevrolet,tracker,2004,regular_unleaded,165.0,6.0,automatic,four_wheel_drive,4.0,,compact,4dr_suv,20,17,1385
pontiac,firebird,2001,regular_unleaded,200.0,6.0,manual,rear_wheel_drive,2.0,"hatchback,performance",midsize,2dr_hatchback,28,17,210
volkswagen,rabbit,2009,regular_unleaded,170.0,5.0,automatic,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,29,20,873
toyota,avalon_hybrid,2017,regular_unleaded,200.0,4.0,automatic,front_wheel_drive,4.0,hybrid,midsize,sedan,39,40,2031
porsche,panamera,2015,premium_unleaded_(required),420.0,6.0,automated_manual,all_wheel_drive,4.0,"luxury,high-performance",large,sedan,26,17,1715
buick,century,2004,regular_unleaded,175.0,6.0,automatic,front_wheel_drive,4.0,,midsize,sedan,27,18,155
mercedes-benz,cla-class,2016,premium_unleaded_(required),208.0,4.0,automated_manual,all_wheel_drive,4.0,luxury,midsize,sedan,33,24,617
acura,ilx,2015,premium_unleaded_(recommended),150.0,4.0,automatic,front_wheel_drive,4.0,luxury,compact,sedan,35,24,204
chrysler,200,2017,flex-fuel_(unleaded/e85),184.0,4.0,automatic,front_wheel_drive,4.0,flex_fuel,midsize,sedan,36,23,1013
gmc,sierra_1500_classic,2007,flex-fuel_(unleaded/e85),295.0,8.0,automatic,rear_wheel_drive,4.0,flex_fuel,large,extended_cab_pickup,19,14,549
mercedes-benz,r-class,2011,premium_unleaded_(required),268.0,6.0,automatic,all_wheel_drive,4.0,"crossover,luxury",large,wagon,19,15,617
honda,cr-v,2015,regular_unleaded,185.0,4.0,automatic,front_wheel_drive,4.0,crossover,compact,4dr_suv,34,27,2202
toyota,matrix,2012,regular_unleaded,158.0,4.0,automatic,front_wheel_drive,4.0,hatchback,compact,4dr_hatchback,29,21,2031
porsche,911,2015,premium_unleaded_(required),430.0,6.0,manual,all_wheel_drive,2.0,"luxury,high-performance",compact,convertible,25,18,1715
nissan,370z,2016,premium_unleaded_(required),350.0,6.0,automatic,rear_wheel_drive,2.0,"factory_tuner,high-performance",compact,coupe,26,19,2009
dodge,colt,1993,regular_unleaded,92.0,4.0,manual,front_wheel_drive,2.0,,compact,coupe,36,28,1851
volkswagen,jetta_sportwagen,2013,regular_unleaded,170.0,5.0,automatic,front_wheel_drive,4.0,,compact,wagon,31,24,873
oldsmobile,aurora,2003,premium_unleaded_(required),250.0,8.0,automatic,front_wheel_drive,4.0,performance,large,sedan,24,15,26
dodge,caliber,2010,regular_unleaded,172.0,4.0,manual,front_wheel_drive,4.0,,compact,wagon,29,23,1851
dodge,ram_150,1991,regular_unleaded,125.0,6.0,unknown,rear_wheel_drive,2.0,,large,regular_cab_pickup,17,12,1851
chevrolet,avalanche,2010,flex-fuel_(unleaded/e85),320.0,8.0,automatic,rear_wheel_drive,4.0,"crossover,flex_fuel",large,crew_cab_pickup,21,15,1385
dodge,ram_cargo,2002,regular_unleaded,225.0,8.0,automatic,rear_wheel_drive,3.0,,large,cargo_van,14,12,1851
ford,transit_connect,2015,regular_unleaded,169.0,4.0,automatic,front_wheel_drive,4.0,,compact,passenger_minivan,28,20,5657
dodge,ram_150,1992,regular_unleaded,180.0,6.0,manual,four_wheel_drive,2.0,,large,regular_cab_pickup,16,11,1851
nissan,murano,2017,regular_unleaded,260.0,6.0,automatic,front_wheel_drive,4.0,crossover,midsize,4dr_suv,28,21,2009
